document,ent1,ent1_start,ent1_end,ent2,ent2_start,ent2_end,relation
"In example 3 , the dinner is almost finished . The mother asks the children if they still want to eat a little more food ( line 1 ) , but children are already focused on other activities such as playing with toys and other objects . In this phase of the meal , it has been frequent to observe , in the corpus , discussions in which parents and children negotiate the after dinner activities , e.g. , how long watching TV , whether playing with this or that object , or at what time going to sleep . In fact , mealtimes are therefore not only oriented to food , but they represent moments in which all the daily activities involving the family members , especially children , can be taken into account and discussed .",children,14,15,other objects,44,46,The children were focused on playing with toys and other objects.
"At the beginning of this excerpt the mother is serving the food , whilst the father is still seated on the couch watching TV . She asks the father to sit at the table and enjoy the meal , since the food is ready ( line 1 : "" come : dinner is ready "" ) . This event , namely , the mother announcing the beginning of the meal , represents a typical starting - point for this activity type . In the excerpt , I shall focus the analysis on the difference of opinion between the mother and her son , Marco , on an issue related to the school context ( from line 3 to line 7 ) .",the excerpt,83,85,the father,14,16,no relation found
"At the beginning of this excerpt the mother is serving the food , whilst the father is still seated on the couch watching TV . She asks the father to sit at the table and enjoy the meal , since the food is ready ( line 1 : "" come : dinner is ready "" ) . This event , namely , the mother announcing the beginning of the meal , represents a typical starting - point for this activity type . In the excerpt , I shall focus the analysis on the difference of opinion between the mother and her son , Marco , on an issue related to the school context ( from line 3 to line 7 ) .",the beginning,1,3,the meal,36,38,"At the beginning, the mother asks the father to sit and enjoy the meal."
"In both cases ( parents and children ) , the prevalent use of arguments concerning the concepts of quantity and quality appears as the privileged way to convince the other party . When children advanced arguments to oppose their parents ' argumentation , they mostly used the same type of argument used previously by their parents . The arguments of quality and quantity were mostly advanced by children in reaction to the same types of arguments previously advanced by their parents . In fact , in the corpus I observed that when the parent put forth an argument of quality , the argument by the child typically was an argument of quality . Similarly , when the parent put forth an argument of quantity , the argument by the child was an argument of quantity . Because during mealtimes the arguments of quality and quantity are in most cases used by parents and children in order to highlight a specific propriety ( positive or negative ) of food , these two arguments , I contend , can be defined as "" context "" .",mealtimes,138,139,they,43,44,no relation found
"Differences in students ' thematic progression as compared to that in the newspapers fall into two broad categories . Assuming that newspaper text is suitably representative ( and it is , after all , probably the most-read text type in existence , after emails ) , then one could argue that students either employ relatively too few or too many of a given progression type , or else they use progression inappropriately . For example , constant progression was used disproportionately often by weaker students , resulting at worst in a series of unrelated statements about the topic theme . Used skilfully , constant progression is a vital ingredient in persuasive discourse . However , its unskilful employment can create a clumsiness that unnecessarily labours the obvious . Students arguably require coaching in alternative progression types , particularly simple linear progression and the suggested variations on constant progression .",the newspapers,11,13,a given progression type,61,65,no relation found
"With regard to the positioning of Dane s' progression types in the two newspapers , there is no obvious pattern as to where in a text they most often occur . As for breaks , on the other hand , there is a clear tendency for these to occur most often towards the end of a text , generally , and extensive correlation between the density of theme types and the signalling of problem-solution sections ( Hoey , 1983 ) . Allowing for a little simplification , Hoey 's pattern essentially divides a text into four sections : Situation , Problem , Solution , and Evaluation , typically following in that order . Without going into great detail , the occurrence patterns of certain breaks stand out as significant , though more research would be necessary to authoritatively confirm or disconfirm this . For instance , The Sun employs an exceptionally high density of interrogatives in Problem , exclamatives in Evaluation , and a large number of verbal breaks in Solution , while The Times frequently uses bound clause breaks in Evaluation and there predicates in Solution . Overall , the picture is simple : breaks occur with particular frequency in Evaluation and , therefore , at the end of a text or paragraph . It is thus arguably the case that breaks are most useful of all for expressing opinions and changing the direction of the discourse .",a little simplification,83,86,the end,52,54,no relation found
"The subject of the non-finite element and that of the main verb of the projecting clause are co-referential in ( 17 ) . The gerund in ( 17a ) is imperfective and can construe a proposition of fact , functioning as the complement of the main verb considers . The infinitive in ( 17b ) is a projected act , and so it cannot construe a proposition of fact or function as the complement of the main verb considers . This further shows that , although a projected act can also have an absolute subject , the absolute subject of a projected fact is more independent . Subject clauses are fact clauses . The reason why they are more independent than complement clauses is that although complement clauses can also be projected facts , their subjects are still influenced on ( assign case ) by the main verbs in the projecting clauses to some extent . For example , if withdrawal in ( 13b ) is a personal pronoun , it should be accusative . The subject of a subject clause is not influenced by the main verb in the matrix clause ; it can be nominative , hence more independent .",The infinitive,49,51,the matrix clause,189,192,no relation found
"The subject of the non-finite element and that of the main verb of the projecting clause are co-referential in ( 17 ) . The gerund in ( 17a ) is imperfective and can construe a proposition of fact , functioning as the complement of the main verb considers . The infinitive in ( 17b ) is a projected act , and so it cannot construe a proposition of fact or function as the complement of the main verb considers . This further shows that , although a projected act can also have an absolute subject , the absolute subject of a projected fact is more independent . Subject clauses are fact clauses . The reason why they are more independent than complement clauses is that although complement clauses can also be projected facts , their subjects are still influenced on ( assign case ) by the main verbs in the projecting clauses to some extent . For example , if withdrawal in ( 13b ) is a personal pronoun , it should be accusative . The subject of a subject clause is not influenced by the main verb in the matrix clause ; it can be nominative , hence more independent .",the main verb,9,12,complement clauses,121,123,no relation found
"According to the discussion in the previous sections , absolute subjects can appear in four functional types of non-finite clauses : adverbial clauses , appositive clauses , subject clauses and complement clauses . Absolute subjects in different types of non-finite clauses are different in independence . The tendency to be independent is embodied in the independence of the absolute subjects and that of the primary clauses .",non-finite clauses,39,41,four functional types,14,17,no relation found
"According to the discussion in the previous sections , absolute subjects can appear in four functional types of non-finite clauses : adverbial clauses , appositive clauses , subject clauses and complement clauses . Absolute subjects in different types of non-finite clauses are different in independence . The tendency to be independent is embodied in the independence of the absolute subjects and that of the primary clauses .",The tendency,46,48,complement clauses,30,32,no relation found
"Eight picture prime stimuli ( repeated twice in the experiment ) appeared for 500 ms each . Target stimuli appeared 500 ms later , for 1000 ms or until the subject responded to them . The maximal response time was 1000 ms . The stimuli were presented to all the subjects in the same order . There was a 1000 ms pause between each pair of prime and target . Subjects were instructed to decide as quickly and as accurately as possible whether the target word was a real Swedish word or not . They responded by pressing one of two keys on the keyboard of a MacBook Pro .",The stimuli,43,45,the target word,83,86,no relation found
"The database for written Swedish ( KORP ) contained approximately 3783 million words from different genres as July 2014 and is constantly growing . Novels in KORP were searched for initial consonants in order to establish baseline frequencies to compare with initial consonants in the databases . Frequency measures are never any better than their source , but the frequencies from these novels should be quite representative as they cover almost 1.4 million words from a large variety of modern writers .",Novels,24,25,their source,54,56,no relation found
"Since the experiments showed that clusters can be primed by pictures of objects , it is reasonable to expect that a well-designed sound symbolic name could reduce product uncertainty . For example , a Swedish furniture manufacturer might be well-advised to use the initial cluster names of slender coat hangers and kl-for rustic furniture . IKEA often chooses names for furniture according to specific principles : chairs have men 's names , rugs are named after Danish geographical names , while the names of items for the bathroom come from Swedish lakes and rivers , and so on . It is not impossible , however , that within these categories , sound symbolism might be utilized according to the shape , mobility , consistency , texture or emotion that the product should convey . The table lamps Klabb ( chunk of wood ) , Knubbig ( chubby ) and Stranne ( non - word ) , the work lamp Kroby ( place name ) and the bucket Knodd ( non - word ) all have form or surface structure that agree with the meaning of Swedish phonaesthemes . The movement associated with the cluster is reflected in names of the trolley Flytta ( move ) and the rocking chair Flaxig ( flapping ) .",chubby,146,147,mobility,121,122,no relation found
"This article analyses the processes of reducing language in textchats produced by non-native speakers of English . We propose that forms are reduced because of their high frequency and because of the discourse context . A wide variety of processes are attested in the literature , and we find different forms of clippings in our data , including mixtures of different clippings , homophone respellings , phonetic respellings including informal oral forms , initialisms ( but no acronyms ) , and mixtures of clipping together with homophone and phonetic respellings . Clippings were the most frequent process ( especially back - clippings and initialisms ) , followed by homophone respellings . There were different ways of metalinguistically marking reduction , but capitalisation was by far the most frequent . There is much individual variation in the frequencies of the different processes , although most were within normal distribution . The fact that nonnative speakers seem to generally follow reduction patterns of native speakers suggests that reduction is a universal process .",the different processes,138,141,the most frequent process,93,97,no relation found
"This article investigates processes of reducing language in online discourse , specifically textchat . Previous studies have identified many such processes , but they have been analysed to different depths , and few have looked at comparative frequencies of use ; also , none have looked at individual variation to our knowledge . These are therefore the main focuses of this study : to see what processes appear in our data , how much they are used compared to one another , and how much variation there is between individuals .",they,23,24,the main focuses,56,59,They are the main focuses of this study.
"There are a total of 222 forms where reduction is marked , which is 10.97 of the total number of reductions ( 222/2024 ) . Out of those , capitalisation is the clearly preferred marker , at 75.68 of these 222 tokens . Reductions of question make up nearly half this total ( 81 out of 168 tokens with capitalisation , or 48.21 ) , with initialisms of nuclear weapons , nuclear language and as well as names being attested as well .",capitalisation,29,30,capitalisation,29,30,no relation found
"To answer the two research questions , it is not necessary to retrieve all the comparative constructions in the corpus . We retrieve only the collocations consisting of the than element and a nominative or accusative first or third personal pronoun or a nominative pronoun plus an auxiliary verb directly ending a sentence .",We,21,22,all the comparative constructions,13,17,no relation found
"In addition to the above contention on what normative stance ecolinguistics should take , it is also worthwhile for us to consider whether the notion of ( ecological ) justice could be better incorporated into future ecolinguistics research . The analysis of the surveyed journal publications has found very few instances where ( ecological ) justice issues have been explicated addressed . This is by no means an indication that ecolinguistics does not care about ( ecological ) justice . Are concerns over language diversity or English 's over-dominance as a global lingual - franca not an implicit expression of liberal pluralism ? Given the notion of justice ' close connotation with improper distribution and unfairness , it is unfortunate to find that the commitment to ( ecological ) justice , at least among the surveyed publications , remains a less-elaborated aspect . Contemporary ecological crises ( climate change , as well as other issues such as diminishing biodiversity and the rapid decline of habitat ) are perhaps the great challenges ever faced by human civilization . Ecolinguistics , with it close connections with ecology , has to give its own responses .",habitat,164,165,( ecological ) justice,26,30,no relation found
"Many Spanish-speaking residents of Charlotte are not of Latin American heritage and / or do not identify as Latino / Hispanic , and those who do are as diverse as any population that shares only a heritage language influence . Additionally , Spanish is not a heritage language for some residents of Charlotte who do have Latin American heritage , whether they self-identify as Latino / Hispanic or not . Therefore , it is essential to reiterate that the results and interpretation presented in the current study do not in any way seek to explain particular aspects , linguistic or otherwise , that define in a general way Charlotteans of Latin American or Spanishspeaking heritage or the LL of any part of Charlotte other than the immediate areas containing the three shopping malls that were the target of this research , as they were in the summer of 2010 . The approach used in this paper has allowed us to present a summary of the functional distribution of Spanish and English in the linguistic landscape of merely one small Latino-oriented commercial node at one point in time .",who,24,25,they,61,62,no relation found
"The second assumption associated with ANCOVA is that the relationship between the dependent variable and each of the covariates should be linear ( straight - line ) . One of the reasons for including covariates is to increase the power of the analysis of variance test and violation of this assumption is likely to reduce the power ( sensitivity ) of the test . Therefore , in the current study scatterplots were used to check for the assumption of linear relationship between the variable ( posttests ) and the covariates ( pretests ) for both control and experimental groups .",the analysis,41,43,sensitivity,58,59,no relation found
"With regard to the effects of visualization and verbalization on learners ' L2 vocabulary improvement , it can be concluded that both methods led to the development of L2 vocabulary knowledge . In addition , considering the difference between the effects of the two approaches on learners ' L2 vocabulary knowledge development , deductions can be made that visualization would result in better vocabulary learning than the verbalization approach . Therefore , visualization offers advantages in teaching and learning English vocabularies , especially for high school EFL learners .",verbalization,8,9,the development,25,27,verbalization can lead to the development of L2 vocabulary knowledge.
"The few cases of nano as a middle constituent of complex words are strongly related to cases of nano as an initial component of complex words , the former simply being cases in which the latter are themselves constituents of larger complex words . Examples are sub-nanometer and carbon-nanotube . The word is a prefixation of nanometer and carbon - nanotube is a compound of carbon and nanotube .",The few cases,0,3,an initial component,20,23,The few cases of nano are an initial component of complex words.
"Schemas in this section are presented in an order justified on semantic grounds . As discussed in section 3.4.3 , some schemas derive from other more "" basic "" schemas . In what follows , I start by discussing the schema defined by SI , i.e. , S1 , and then address schemas that derive from this schema in a systematic manner , i.e. , S2eS9 . Schema S10 specifies a meaning that can be described independently of S1eS9 .",section 3.4.3,17,19,"other more "" basic "" schemas",24,30,"Section 3.4.3 discusses other more "" basic "" schemas."
"This study investigated the developmental pattern of VOT in pre-adolescent children . VOT characteristics of the voiceless stop consonants / , , were studied . VOT is not associated with gender , but decreases significantly with age . VOT value changed as a function of the place of articulation and the characteristics of the following vowel .",VOT characteristics,12,14,the place,45,47,no relation found
"Several studies of the acoustic characteristics of European Portuguese ( EP ) have been published , although the studies on VOT characteristics are scarce [ 25e29 ] . Moreover , the majority of the participants were adults . The main purpose of this study was to study the VOT changes as a function of gender and age , and to contribute to the knowledge of the VOT characteristics of the stop consonants / , , in children with EP as mother tongue .",the acoustic characteristics,3,6,mother tongue,80,82,no relation found
